### BDSIM output created Fri Jun 28 09:34:48 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 -617.928 1679.1 920.931 -2.12129e-05 -1.8856e-05
2212 4000 -641.342 1658.29 922.035 -2.12129e-05 -1.8856e-05
2212 4000 -944.64 1388.65 936.335 -2.1206e-05 -1.88559e-05
2212 4000 -949.289 1384.52 936.554 -2.1206e-05 -1.88559e-05
2212 4000 -951.622 1382.44 936.664 -2.1206e-05 -1.88559e-05
2212 4000 -966.392 1369.31 937.361 -2.1206e-05 -1.88559e-05
2212 4000 -973.49 1363 937.695 -2.1206e-05 -1.88559e-05
2212 4000 -1276.68 1093.36 951.995 -2.11984e-05 -1.88559e-05
2212 4000 -1281.33 1089.22 952.215 -2.11984e-05 -1.88559e-05
2212 4000 -1283.66 1087.15 952.325 -2.11984e-05 -1.88559e-05
2212 4000 -1305.52 1067.71 953.356 -2.11984e-05 -1.88559e-05
2212 4000 -1608.61 798.067 967.656 -2.11902e-05 -1.88558e-05
2212 4000 -1613.25 793.933 967.875 -2.11902e-05 -1.88558e-05
2212 4000 -1615.58 791.859 967.985 -2.11902e-05 -1.88558e-05
2212 4000 -1633.04 776.322 968.809 -2.11902e-05 -1.88558e-05
2212 4000 -1645.63 765.121 969.403 -2.11902e-05 -1.88558e-05
2212 4000 -1652.41 759.087 969.723 -2.11902e-05 -1.88558e-05
2212 4000 -1658.73 753.468 970.021 -2.11902e-05 -1.88558e-05
2212 4000 -1652.34 726.953 973.121 2.52834e-05 1.62611e-06
2212 4000 -1648.28 727.214 973.282 2.52834e-05 1.62611e-06
2212 4000 -1636.81 727.939 973.736 2.52408e-05 1.57917e-06
2212 4000 -1620.48 728.961 974.383 2.52408e-05 1.57917e-06
2212 4000 -1601.07 730.176 975.152 2.52408e-05 1.57917e-06
2212 4000 -1592.62 730.704 975.486 2.52408e-05 1.57917e-06
2212 4000 -1231.62 753.286 989.786 2.52489e-05 1.57916e-06
2212 4000 -1226.09 753.633 990.006 2.52489e-05 1.57916e-06
2212 4000 -1223.31 753.806 990.116 2.52489e-05 1.57916e-06
2212 4000 -1197.27 755.435 991.147 2.52489e-05 1.57916e-06
2212 4000 -836.162 778.017 1005.45 2.52562e-05 1.57916e-06
2212 4000 -830.624 778.363 1005.67 2.52562e-05 1.57916e-06
2212 4000 -827.846 778.537 1005.78 2.52562e-05 1.57916e-06
2212 4000 -810.255 779.637 1006.47 2.52562e-05 1.57916e-06
2212 4000 -801.801 780.165 1006.81 2.52562e-05 1.57916e-06
2212 4000 -440.589 802.747 1021.11 2.52629e-05 1.57915e-06
2212 4000 -435.05 803.093 1021.33 2.52629e-05 1.57915e-06
