@ NAME             %09s "MAP_TABLE"
@ TYPE             %07s "MAP_TAB"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.04.01 Darwin 64"
@ DATE             %08s "06/09/18"
@ TIME             %08s "11.03.12"
* NAME                                 COEF   N_VECTOR         NV      ORDER         NX        NXP         NY        NYP    NDELTAP         NT 
$ %s                                    %le         %d         %d         %d         %d         %d         %d         %d         %d         %d 
 "C1_211200"         -6.205462440879254e+08          1          5          6          2          1          1          2          0          0
 "C1_211110"          1.470509604094317e+14          1          5          6          2          1          1          1          1          0
 "C1_211020"         -8.135591558352872e+11          1          5          6          2          1          1          0          2          0
 "C1_210300"          1.584063223153992e+10          1          5          6          2          1          0          3          0          0
 "C1_210210"         -1.089843135743841e+16          1          5          6          2          1          0          2          1          0
 "C1_210120"         -2.893377110995459e+13          1          5          6          2          1          0          1          2          0
 "C1_210030"          3.511505428340046e+13          1          5          6          2          1          0          0          3          0
 "C1_204000"         -2.236383657459261e+09          1          5          6          2          0          4          0          0          0
 "C1_203100"          7.552066130096697e+11          1          5          6          2          0          3          1          0          0
 "C1_203010"          1.612124056190835e+08          1          5          6          2          0          3          0          1          0
 "C1_202200"         -8.769201378604534e+13          1          5          6          2          0          2          2          0          0
 "C1_202110"          1.296498988374228e+11          1          5          6          2          0          2          1          1          0
 "C1_202020"         -3.978696732778363e+10          1          5          6          2          0          2          0          2          0
